Nom,Description,Categories,Genres,Mots-cles
Avion Tycoon,"Ayez votre propre compagnie de transport aérien Transport fret à travers le ciel, l'achat et la gestion de vos avions et votre équipe. Coordonner le transport de marchandises et gagner de l'argent Choisissez les meilleurs avions et compléments au concessionnaire et faites votre hangar de la meilleure façon pour vous et votre entreprise. Embaucher et contrôler vos employés et avoir les meilleures personnes à vos côtés pour aider l'entreprise à croître. Gérez vos propriétés et développez votre entreprise. Contrôlez vos finances et investissez votre excédent dans la banque, ou dans les moments difficiles essayez d'obtenir un prêt du gestionnaire de banque. Signer les contrats de transport et de transport massivement, gagner beaucoup d'argent Soyez un entrepreneur en transport, avec le contrôle de tout dans votre entreprise. Travaillez, gagnez, investissez et élargissez! Le succès est à quelques pas, êtes-vous prêt ? Marché conclu !","Un seul joueur, Succès d'équipe, Nuage de vapeur","Casual, Indie, Simulation, Stratégie","Casual,Simulation,Stratégie,Farming Sim,Grand Strategy,Immersive Sim,Real Time Tactics,Gestion du temps,2D,Cartoon,Colorful,Cute,Minimalist,Pixel Graphics,Realistic,Resource Management,Automation,Logic,Capitalisme,Management"
1 000 Charnières,"1 000 Shards est un jeu dans lequel vous contrôlez un vaisseau spatial qui vole vers l'avant. Votre tâche est de recueillir des éclats blancs. Des blocs d'obstacles apparaissent sur votre chemin que vous devez éviter. Si vous frappez l'un d'eux, vous devez recommencer. Utilisez la maniabilité du navire pour durer plus longtemps. Combien de shards pouvez-vous recueillir ? Caractéristiques: - Gameplay haute vitesse - Style minimaliste - Musique agréable","Un seul joueur,Steam Achievements","Action, Casual, Indie","Action,Casual,Stylisé,3D,Simplejoueur,Indie,Top-Down,Arcade"
ESPACE 2980,"INSPACE 2980 est un SHMUP élégant et dynamique de l'ère 16-bit des consoles de jeux et des machines d'arcade. Participez à une aventure passionnante et sauvez la galaxie ! Encore ! Des batailles dynamiques. Le flot sans fin de divers ennemis ne vous laissera pas vous reposer jusqu'à la fin de la bataille. Améliorations et mises à niveau. Dix caractéristiques du navire, qui peut être amélioré, ainsi que beaucoup de power-ups qui vous permettront de traiter plus efficacement avec les hordes d'ennemis. Soutien aux drones. Les drones vous aideront à survivre aux batailles les plus féroces. Ils vont réparer votre vaisseau ou vous aider à détruire l'ennemi. Capacités spéciales. Avec l'aide de capacités spéciales, vous serez en mesure de gérer même les tâches les plus difficiles! Différents types d'armes. Missiles, faisceaux laser, décharges électriques, pistolets plasma. Vous trouverez une stratégie pour n'importe quel ennemi ! Des ennemis et des patrons différents. Un grand nombre d'unités ennemies différentes, avec des apparences et des comportements différents.","Un seul joueur,Steam Achievements,Support de contrôleur complet","Action, Aventure, Indie","Shoot 'Em Up,Bullet Hell,Space,Old School,Flight,Shooter,Top-Down Shooter,Arcade,Futuristic,2D,Action,Indie,Sci-fi,Difficile,Singleplayer,Controller,Spectaclefighter,Adventure,Linear,Combat"
Le Royaume du Compte,"Préparez-vous à la magie, aux monstres et aux maths avec le royaume du comte ! Écrire des sorts simples, brasser des potions pétillantes... hier n'était qu'un autre jour dans votre vie comme l'Apprentice de Wizard. Aujourd'hui, une horde de monstres en colère attaque le Royaume des comtes, et vous seul pouvez défendre les tours du château ! En utilisant vos sorts, potions et la puissance des mathématiques, vous devez bannir les monstres et sauver le royaume ! Prenez votre tome de sorts et sauvez le château dans ce puzzler tactique, avec un gameplay stratégique de défense tour sur une carte mondiale étendue. Chaque monstre a un nombre : ajoutez-les ensemble pour lancer vos sorts Rack up points with puissants combos and well-timed potions Challenging tower defense gameplay that's divertissant for gamers of all age Encouragez l'excitation sur les maths avec des défis supplémentaires faits pour le plaisir de la famille Explorez un monde coloré avec 30 niveaux de gameplay dans cinq régions distinctes du royaume Les niveaux de jeu générés dynamiquement créent une valeur de replay élevée et garantissent un nouveau défi mathématique Serious gaming ! Ce jeu de maths astucieux nécessite une vraie pensée stratégique Prêt avec vos sorts ? Le Royaume Compteur a besoin de vous pour sauver la journée!","Un seul joueur, Trading par équipe Cartes","Casual, indie, stratégie","Casual,Stratégie,Indie,Éducation,Cute,Famille Amiable"
Ultra Foodmess,"Ultra Foodmess est un jeu de compétition pour jusqu'à 4 joueurs dans lequel les personnages de la nourriture se battent les uns contre les autres dans une variété de modes fous et rapides! Expérimentez le désordre alimentaire ! Appelez vos amis pour exploser, tirer, balancer, pousser, esquiver, détruire et, éventuellement, ruiner votre amitié. ★ LOCAL MULTIPLAYER 2 à 4 Joueurs sur multijoueur local. ★ 11 différents modèles de jeu rapides Choisissez parmi une grande variété de modes fous, chacun d'eux avec sa propre mécanique. ★ Beaucoup de CARACTÉRISTIQUES DES ALIMENTS Choisissez la nourriture que vous aimez le plus pour vaincre les autres et prouver qui est le meilleur! ★ C'est très facile à jouer ! N'importe qui peut prendre le contrôleur et commencer à s'amuser! ★ Bataille contre l'IA Préparez-vous et combattez contre les robots alimentaires. ★ INLOCABLES! Finissez les défis pour gagner des réalisations et débloquer de nouveaux personnages impressionnants!","Single-player,Multi-player,PvP,Shared/Split Screen PvP, Écran partagé/split, Réalisations de la équipe, Contrôleur partiel Soutien, jouer ensemble","Casual, Indie","PvP,Arcade,Cute,2D,Cooking,Funny,Casual,Cartoony,Colorful,Famille Friendly,Comedy,Survival,Local Co-Op,Multijoueur,Simplejoueur,4 Joueur local,Multijoueur local,Indie,événements à temps rapide,accès rapide"
Terres de sorcellerie,"Lands of Sorcery est un RPG à tour de rôle axé sur le combat, la narration, les femmes sexy, les barbares brutes et la folie générale. Un jeu inspiré de l'épée classique et des œuvres de fantaisie de sorcellerie, des écrits de Robert E. Howard aux films B des années 1980 comme Deathstalker II . Voyagez sur le continent d'Akoll, où l'acier et la magie sont la loi et commandez une équipe de chasseurs d'élite pour rechercher votre fortune ! Gameplay Lands of Sorcery se concentre sur le combat, les mises à niveau d'équipement et le développement de personnages. Pendant que vous voyagez à travers les terres dangereuses d'Akoll, un casting d'individus courageux (ou simplement fous) avec des compétences diverses vous rejoindra et servira de plaque tournante pour améliorer vos combattants. Features Campaign - Jouez à travers deux campagnes d'histoires cinématographiques: - ' The Hunt for Gloomy Whisper '. Cherchez l'artefact mystérieux qui peut changer le monde pour toujours. - Les enfants de la lumière. Aidez une belle sorcière à vaincre un fanatique zélé transformé en monstrueux arc-en-ciel. Gérer une liste de combattants - Sélectionnez qui va au combat et qui peut se détendre en ville Mettre à niveau une partie de caractères support . D'une masseuse à un alchimiste, ils voyageront avec vous et amélioreront les capacités de vos combattants 10 classes de héros jouables uniques, avec 6 compétences uniques chaque 28 ennemis différents Système d'intimidation - Si pirater vos ennemis à la mort ne fonctionne pas, vous pouvez également gagner en détruisant le moral de votre ennemi et les effrayer hors du champ de bataille. Mechanic Battle Rage - L'utilisation des compétences augmente la Bataille Rage de chaque personnage, qui débloque une compétence dévastatrice spéciale. Évolution classique du caractère avec stratégie centrée sur le combat. Camping - Utilisez les compétences de vos combattants pour reconstituer vos héros lors de séances de camping confortables.","Un seul joueur, Succès d'équipe, Nuage de vapeur","Indie,RPG,Stratégie","RPG,Nudité,Stratégie,Tactiques basées sur le turn,Fantasy,Indie,2D,Singleplayer,Gore,Turn-Based Combat,Sexual Content,Mature,Comedy, Atmospheric"
Châteaux Bonsai,"Un jeu de défense tour avec le château japonais! Ce jeu est un jeu pour réaliser votre rêve, 'je veux faire une forteresse' ou 'je veux être assiégé dans une forteresse.' Décidez où construire la forteresse sur la carte générée au hasard, creuser pour faire des fossés, construire des clôtures et des murs pour faire votre propre forteresse. Si vous avez des demandes concernant le jeu, veuillez les poster sur le forum. Élément implémenté Mode normal ... C'est un mode de jeu de base où vous obtenez des ressources et agrandir la forteresse tout en repoussant les ennemis. Campagne ... C'est le mode pour passer à l'étape suivante après avoir atteint les conditions de victoire présentées. Mode sans fin ... Repousser les ennemis tout en élargissant et en élargissant le château. Mode créatif ... Une façon de jouer qui vous permet d'utiliser les ressources indéfiniment. Vous pouvez également être attaqué par le nombre défini d'ennemis. Mode siège ... Un mode de jeu qui recherche des combinaisons d'ennemis qui peuvent attaquer efficacement contre château enregistrer des données. Mode marche ... C'est un mode de promenade autour de la forteresse créée du point de vue du FPS. Jeu personnalisé ... Un mode où vous pouvez jouer après avoir sélectionné des fonctions optionnelles et modifié presque tous les paramètres. Fonction de changement d'apparence ... Nous envisageons de distribuer des mods qui changent l'apparence des bâtiments dans l'atelier. Classement ... Événement pour commencer le mode sans fin sur la même carte et concourir pour le tour d'atteinte. Campagne ... Une campagne pour comprendre les éléments de base. Rejouer la fonction ... Cette fonction vous permet de rejouer le développement de la forteresse. Partage des données d'enregistrement en atelier ... Inscrivez-vous et téléchargez les données d'enregistrement du château que vous avez fait.","Single-player,Steam Achievements,Steam Workshop,Steam Cloud,comprend l'éditeur de niveau","Indie, Simulation, Stratégie","Stratégie, Indie,Simulation,Tower Defense, Accès rapide"
Machine à laver folle,"Vous êtes un Ours et vous avez décidé de laver un Brick ! Pour nous, les humains il est évident que cette idée menace ceci et il est préférable de ne pas essayer de le faire. Mais à quel point Bear le saura - t - il? Il doit encore apprendre à laver une brique. Que ce qui ne nous a pas tués, nous rendra plus forts... Si nécessaire, dans ce jeu il y a des codes de triche pour le passage rapide. Dans le jeu, vous pouvez obtenir 8 Réalisations! Lavez vos briques !",Joueur unique,Indie,Indie
Toi-même !,"Toi-même ! offre l'action de tir à deux bâtons la plus destructrice qu'un jeu de canapé-coop devrait même considérer. Défier ou travailler ensemble avec jusqu'à 4 amis dans un monde destructible entièrement basé sur la physique , un système de power-up dynamique et des contrôles stupides , saupoudré de gameplay facile à apprendre mais difficile à maîtriser. Avec une forte importance pour jouer avec des amis, TankYou! prend en charge jusqu'à 4 joueurs sur n'importe quel mode de jeu, coop ou versus. JEU Parachuting tanks via les services de courrier aérien n'a jamais été aussi gratifiant! La simplicité dicte le gameplay car votre objectif est toujours de marquer des points. Score en s'infiltrant derrière les lignes ennemies, détruire les ennemis de type patron, rassembler des pièces, détruire les chars ennemis et bien plus encore! La violence n'est pas toujours la réponse, tout simplement très encouragée. POUVOIR Jouez dans un monde où les puissances littéraires, tombent continuellement du ciel et sont les vôtres pour obtenir sans aucune décence sur la limite. Ramassez-les TOUS et empilez-les, mettez à niveau, combinez, mettez à niveau à nouveau et empilez-en d'autres. Tout se passe instantanément et tout s'écroule dès que vous éclatez ! Destroy Ne manquez jamais la chance de faire sauter un réservoir ou deux, c'est juste amusant. Mais ne vous arrêtez pas aux tanks : traverser quoi que ce soit, tondre la pelouse, faire exploser les bâtiments, écraser les champs de maïs, détruire la faune locale, tout ce qui vous dérange. Mais n'oubliez pas votre objectif ultime : boire de l'huile moteur de la carcasse de vos ennemis vaincus. CARACTÉRISTIQUES Jusqu'à 4 joueurs canapé-coop sur n'importe quel mode de jeu. ↓Power-ups robustes et upgradables ↓Contrôles super simples ↓Unfair Boss batailles ↓Maîtrise complète et support du clavier ↓Tout est livré par courrier aérien rapide ↓Awesome Future Additions!","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Succès,Support de contrôleur complet,Steam Trading Cards,Steam Cloud,Remote Play Together","Action, Casual, Indie","Action,Inde,Casual,Twin Stick Shooter,Destruction,Co-op,Tanks"
C'est le plus beau,"On sait tous qu'on aime les serpents, non ? Même si vous avez peur des serpents, vous étiez amoureux en jouant à Snake sur vos téléphones portables pendant que vous étiez jeune. Ce jeu n'est rien de spécial mais la version classique de Snake avec des mods. Vous avez pour objectif de manger tous les aliments à l'intérieur du camp. Vous pouvez tout changer dans le jeu, la couleur du serpent, la vitesse, la couleur du camp, etc. Amusez-vous et jouez à ce jeu classique. Jusqu'où peux-tu aller ?",Joueur unique,"Aventure, Casual, Indie, Simulation","Aventure, Indie, Casual, Simulation"
Puzzle out VR,"Découvrez le seul jeu de puzzle en VR qui présente des énigmes de tangram dans une capsule spatiale! Caractéristiques Déplacer autour d'un réglage atmosphérique 10 niveaux intéressants Difficulté croissante à tester votre dextérité et votre pensée visuelle Cristaux détrroyables pour suspendre le mouvement du mur Voir les environs et la terre lointaine à travers votre casque spatial avec visière UI Autosave Musique atmosphérique et effets sonores Histoire C'est l'ère du voyage spatial commercial et bon marché qui permet à chacun de voyager entre les planètes du système solaire. Vous êtes sur votre voyage de retour à la terre d'une expédition à Mars pour trouver des cristaux rares. Alors que vous approchez de la terre, un étrange mur étranger semble vous empêcher d'examiner les cristaux.",Joueur unique,"Action, Casual, Indie","Action,Inde,Casual,VR,Puzzle,Espace,Accès rapide,First-Person,Sci-fi,Physique, Atmosphérique,Simplejoueur,Futuristique,Supernaturel"
M. King Luo ! Ne plaisante pas,"En raison d'une chaîne d'événements inattendus, Fong-Dai Zong finit dans le monde intérieur avec la nouvelle choquante de sa mort des juges de l'enfer. Sur son chemin étant escorté aux juges, il s'échappe et rencontre un mystérieux vieil homme qui pêche près d'une rivière. Le vieil homme le conseille: 'Il n'y a qu'un moyen d'échapper au monde et de retourner au pays des vivants...' Avec des niveaux de toutes les difficultés appropriées pour les débutants et les experts, ce jeu permet au joueur de profiter de l'excitation d'esquiver et de tirer! L'animation et la touche artistique de pointe créent un royaume unique à chaque scène ! Des personnages distinctifs et une histoire avec des twists bizarres, une ligne de punch partout où vous ne pouvez pas vous cacher. Nouveau style de peinture à l'encre de lavage rend les personnages élégants mais pas rigides! Divers recueils et secrets attendent votre découverte! Recueillir un rouleau d'anecdote, découvrir les secrets inconnus de Yamaraja ! Le gardien du livre de la vie et de la mort, juge de l'avenir des morts dans le monde. Quand un défunt viendra dans sa salle, il sera conduit au miroir de la vérité du côté droit de la salle, si quelqu'un était juste alors il sera conduit au ciel ou au nirvana. Si l'on avait fait une part égale de bonnes actions et de malfaiteurs, alors il est envoyé dans les dix salles différentes pour la réincarnation basée sur les bonnes actions et les malfaiteurs. Si quelqu'un a fait plus de mal que de bonnes actions, alors on est envoyé dans toutes les salles pour la condamnation et endure toutes sortes de peines. Le juge pour ceux qui ne croyaient pas au karma empêchait les autres de faire de bonnes actions, calomniait les enseignements du bouddhisme. Ceux qui arrivent à la salle peuvent monter sur l'observatoire de la patrie, jeter un oeil à ce qui se passe là-bas, pour égratigner temporairement le démangeaison du mal du pays. Roi du fond de l'océan, l'enfer sous le rocher sur le point le plus est. Cet enfer est large de huit mille milles avec seize sous-enfers utilisés pour juger ceux qui avaient échappé à l'impôt, refusé de payer une dette, commis des fraudes. Un conseiller de confiance qui assume la lourde charge de travail de Yamaraja. Elle s'occupe de toutes les choses insignifiantes de la vie quotidienne de Yamaraja jusqu'à déterminer la sentence dans le hall. Elle lit les péchés du défunt par le bureau du juge avec une grande articulation, la dignité qu'elle exude est parallèle à celle du juge. Un ordinaire de neuf à cinq ans qui a supposé la mort accidentelle. Il reçoit souvent des réponses bizarres sur sa quête pour découvrir comment il est mort. Peut-être est-ce grâce aux pouvoirs héréditaires de sa famille du prêtre taoïste, il peut repousser les démons et les esprits dans le monde. Et le mystérieux vieil homme semble croire que ce gamin peut accomplir ce qui semble être une mission impossible. Un vieil homme qui pêche près de la rivière Sanzu. Il n'est ni un pécheur ni un esprit triste. Ses vêtements décontractés ne se mêlent pas de la tristesse du monde. Le calme de son discours associé à ses sujets particuliers en fait une figure mystérieuse et dominante. touche de flèche: déplacer Z:shooting X: utiliser des armes C:bomb shift:slowmode ctrl: changement d'armes ESC:pause L3:move □:dépannage","Un seul joueur, Succès d'équipe, Prise en charge complète du contrôleur,Steam Cloud",Indie,"Indie,Sexual Content,Shoot 'Em Up,Bullet Hell,Nudity, Anime,2D,Singleplayer,Shooter"
Fighter pour chiens,"DogFighter est un jeu de combat aérien d'arcade rapide avec des valeurs de gameplay de style arène. Les joueurs peuvent rivaliser avec jusqu'à 15 adversaires en 4 modes multijoueurs, ou aller en solo en 7 modes de jeu monojoueur, en utilisant des biplans rehaussés avec plus de 20 armes offensives et défensives différentes... Principales caractéristiques: Prenez le ciel contre jusqu'à 15 joueurs en mode classique de jeu multijoueur en ligne comme Deathmatch, Team Deathmatch et Capturez le drapeau ainsi que le tout nouveau mode de jeu Wolf Pack Co-Op. Utilisez plusieurs options de serveur avancées pour activer les variations sur les modes de jeu normaux en incluant les types Insta-Gib, Turbo Mode et Black Death. Modèle de vol « facile à voler » avec les commandes dont vous avez besoin pour exécuter des manœuvres avancées comme Barrel Roll et Immelmann Turn. Magnifiquement créé environnements qui sont autant un joueur dans le jeu que les gens piloter l'artisanat. Avec 8 embarcations uniques et plus de 20 armes différentes et des mesures défensives, DogFighter répond à tous les styles de jeu. Tableau de classement en ligne et suivi des amis. Prise en charge de Steam Cloud. Comprend les réalisations de vapeur. Mises à jour jusqu'à présent: Joystick Support Nouvelle carte: The Old Gods New Craft: Mongoose Ajouté: Mode Tutoriel Ajouté Modes de jeu: Lone Wolf et Wolf Pack ... et qui est juste le début. Depuis son lancement, DogFighter a été mis à jour à de nombreuses reprises. En plus des correctifs de bug habituels et du polissage nous avons introduit... Joystick Support Arme et contrôle complètement rééquilibré Une nouvelle carte, le nouveau mode de jeu coop --Wolf Pack- et le nouveau métier; The Mongoose. Support de contrôleur Xbox configurable Prenez le ciel et offrez la mort à votre ennemi en utilisant un modèle de vol de pointe qui donne aux joueurs une commande sans précédent de DogFighter. Le contrôle complet de l'embarcation, combiné à des manœuvres avancées faciles à exécuter comme le rouleau Barrel, donne aux joueurs DogFighter les outils dont ils ont besoin pour maîtriser le ciel. Avec des environnements construits à la fois pour tuer et vous sauver, les environnements de DogFighter offrent au joueur une expérience plus interactive que ce qui est habituel pour le genre. Les joueurs peuvent profiter du pilotage de leur embarcation dans les tunnels miniers, à travers des pyramides et des volcans actifs, dans des environnements conçus pour offrir une expérience de jeu plus variée et plus interactive. Volez vite !","Single-player,Multi-player,Co-op,Steam Succès,Support de contrôleur partiel,Steam Cloud,Stats,Steam Leaderboards","Action, indie","Action,Inde,Flight,Arcade,Multijoueur,Simplejoueur"
CandyVenture,"Candyland était un endroit paisible sur la terre, un endroit où tous les bonbons sont fabriqués. Les habitants du village sont des travailleurs acharnés, ils ont consacré leur vie à faire des bonbons. Mais il y a quelqu'un dans l'espace qui veut démarrer sa propre affaire de bonbons. Son nom est CHUYGOK382XZ, mais tout le monde l'appelle Micron. Il vit sur la Lune, il a construit sa propre usine, mais... Leur seule matière première est le fromage ! (Comme tout le monde le sait, la Lune est faite de fromage). Malheureusement, personne n'a acheté ses bonbons au fromage. Un soir, il a eu un plan maléfique. Il envahira CandyLand avec son armée et emmènera tous les bonbons avec lui sur la Lune ! La nuit, il envoya son armée sur la Terre... Bougie La terre a de gros problèmes. Et ça, où l'histoire commence... Berry et ses amis comptent sur vous ! Retirez les bonbons de Micron et sauvez CandyLand ! Caractéristiques du jeu: -4 personnages jouables! - 15 niveaux et des combats de patron passionnants ! - Système de perche ! -Cozy 2D rétro graphiques et le son!","Un seul joueur, prise en charge complète du contrôleur","Aventure, casual","Casual, Aventure, Souls-like"
Aventure relique,"Il y a beaucoup de trésors dans le plus profond de la relique, mais seuls les aventuriers avec sagesse et courage ont la possibilité de les approcher. Vous pousserez les roches, activerez les dispositifs et les cercles de téléportation pour créer le chemin jusqu'à l'étape suivante, surmonterez les spores toxiques, les flammes et l'eau, voyager à travers différents terrains, couche par couche vers le trésor. Le gameplay est simple et n'a pas beaucoup d'étapes, mais ils sont difficiles. Seulement recommandé aux gens qui sont intelligents, avec une bonne logique, l'amour ou sont bons pour résoudre des puzzles. Il est dit que plus de la moitié des aventuriers sont abandonnés avant de pouvoir passer même le 7ème niveau... Tu es meilleur qu'eux ? Le jeu contient: *10+ sortes d'appareils, monstres ou pièges * 3 chapitres avec différents terrains *25 niveaux *2,5 ~ 25 heures temps de jeu #Opération simple #Lots de puzzles extrêmement difficiles #Pas trop de conseils",Joueur unique,"Aventure, indie, stratégie","Stratégie,Sokoban,Dungeon Crawler,Adventure,Puzzle,2D,Underground,Fantasy,Logic, Magie, Indie, Vieille école, Joueur unique"
Papa est parti à la chasse,"Papa est parti à la chasse est un jeu rétro 16 bits avec des explosions mignonnes, fx-sounds et représente une histoire d'un père préhistorique paresseux. Qui a été expulsé de chez lui par sa femme. Et il faut trouver une nourriture pour ses enfants. Dans Game, vous devez combattre beaucoup aux ennemis dans 2 zones différentes. De votre côté, vous aurez votre compagnie de poisson qui peut faire beaucoup de destructions. Vous ressentirez l'anxiété, la paranoïa et le désespoir quand vous combattrez les monstres préhistoriques La tâche n'est pas facile et vous pouvez mourir plusieurs fois, ' mais vous aimez vos enfants? ' Caractéristiques principales - Graphisme de style 16 bits - Retro looking game avec contrôle moderne - Plus de 50 chambres différentes - 2 Zones différentes - Beaucoup de plaisir - Blood on the floor",Joueur unique,"Action, Aventure, Casual, Indie","Action, Indie, Casual, Aventure"
TOUS LES ESSAIS DE RECHERCHE,"RECHERCHEZ TOUS - SPIDERS est un jeu d'objets cachés dans lequel vous devez trouver toutes les araignées dans un grand emplacement. Les araignées seront situées dans une variété d'endroits, des endroits les plus importants aux endroits à peine visibles. L'emplacement du jeu semble animé à cause des éléments d'animation. Trouvez toutes les araignées ! Ne les laissez pas passer inaperçus :) Caractéristiques principales: - Éléments d'animation sur place; - 100 araignées à trouver; - Bande son agréable; - Le gameplay peut être interrompu à tout moment, et le jeu enregistrera automatiquement le résultat; - Conseils appliqués! Si vous trouvez difficile de trouver un article, utilisez l'indice!","Un seul joueur,Steam Achievements,Support de contrôleur complet","Casual, Indie","Casual,Point & Click,Puzzle,Tabletop,Education,Série de défiler,Exploration,Cliquer,Dungeon Crawler,Objet caché,Créature Collector,2D,Cute,Minimalist,Hand-tired,Amospheric,Famille Friendly,Logic,Mining,Simpleplayer"
Chicks et Tricks VR,"Chicks et Tricks VR est un mini jeu fou, où un fermier protège ses poulets. Le renard affamé 'Tricks' essaie de manger autant de poulets que possible! Rassemblez un ami et bataillez dans ce jeu multijoueur local asymétrique de fermiers et de renards fous ! Attrapez autant de poulets que vous pouvez ou essayez de les protéger du renard. Le jeu est idéal pour les fêtes, les réunions de famille ou un vs un entre amis! Roomscale VR est fortement recommandé pour ce jeu. Le joueur contrôlant le fermier joue en VR, tandis que le Fox est contrôlé sur le PC. Le jeu est 2 joueurs local-multijoueur seulement! Le jeu ne peut pas être joué seul-joueur. Elle nécessite une aire de jeu de 2m x 1,5m. Chaque joueur doit recueillir autant de points que possible et le meilleur joueur qui marque le plus de points chaque tour gagne. Vous êtes libre de créer vos propres mini tournois et tours. Chaque tour prend environ 5-10min.","Multi-joueur,PvP,Écran partagé/split PvP,Steam Achievements,Support de contrôleur complet,Remote Play Together","Action, Casual, Indie","Casual,Action,Indie,VR,VR asymétrique,Multijoueur local,Écran partagé,Famille amicale,Multijoueur,PvP,Cute"
Élisabeth,"Elizabeth est un jeu de décryptage. Le jeu a un style de peinture frais et une méthode de déchiffrement unique. Les joueurs doivent trouver des connexions entre les cadres et combiner les cadres d'image pour résoudre les problèmes. Le protagoniste traversera le cadre de l'image. Les joueurs observent patiemment la connexion entre les images, observent les détails, traversent de nombreuses difficultés, assurent la sécurité du protagoniste en danger et finissent par atteindre la fin. Maintenant le jeu est le premier chapitre, un total de 13 préliminaires. Pourquoi vivons-nous plus seuls quand la ville est plus grande ? C'est peut-être l'histoire de nous tous. Après avoir quitté le campus et être entré dans la société, nous avons progressivement perdu du temps et des amis dans le travail et la vie de quitter tôt et de revenir tard. Le protagoniste est un employé de bureau ordinaire, dont le travail quotidien ne lui donne pas le temps de se soucier de la ville colorée. Le travail supplémentaire est plus long et plus court, la vie libre est plus courte et plus courte, et il est piégé dans une prison appelée réalité avec de nombreuses exigences intérieures. Jusqu'à un jour, la première rencontre du protagoniste avec une fille dans le métro, comme le soleil après la pluie, a non seulement touché le cœur du protagoniste, mais a également allumé son désir pour la vie libre. Il quitta résolument la compagnie une nuit pluvieuse et se consacra à l'amour et à la vie libre. ---Photos interactives et résolution de puzzle--- *Drager le cadre blanc, correspondre au cadre noir et déclencher des événements interactifs pour résoudre le puzzle. Après vous assurer que le protagoniste peut passer, appuyez sur la clé de jeu, et le protagoniste peut facilement passer du cadre de départ au cadre rouge de fin. *Certaines images auront des effets interactifs, qui peuvent former une combinaison intelligente pour vous aider à passer. *Le jeu est une image de fond de style vectoriel avec une riche animation de caractère. Les puzzles de chaque niveau sont très brûlants du cerveau, adapté pour les amateurs de puzzle à jouer.","Un seul joueur, Succès d'équipe, Nuage de vapeur",Indie,"Indie,Puzzle,Casual,Romence,2D,Animal, Atmosphérique,Singleplayer,Cute,Drama"
Frisbros,"Gameplay Frisbros est un match d'Ultimate Frisbee joué dans un labyrinthe de défis, de puzzles et de monstres. Contrôlez les deux Frisbros à la fois ou faites équipe avec un ami et passez votre disque à la victoire à travers dix-huit cours sauvages. Chaque cours a son propre mécanisme de gameplay unique Hellbent sur le défi de votre duo à maîtriser votre lancer. Débloquez des personnages, collectez des disques, et peut-être même découvrez-vous des secrets alors que vous rivalisez pour obtenir un score supérieur à travers les classements. Joueur unique et Couch Coop Prenez le contrôle des deux Frisbros ou faites équipe avec un ami pour suivre chaque cours. Chaque cours est conçu pour être difficile mais confortable pour le loup solitaire et le duo dynamique assaisonné. Les classements sont suivis individuellement entre les deux modes de jeu. Mécanique unique sur chaque cours Chaque frisbro sait que chaque cours a sa propre personnalité. De lancer des défis aux casse-têtes aux combattants de l'arène, chaque cours vous permettra de deviner ce qui va suivre. Unlockables Galore ! Rencontrez de nouveaux Frisbros sur le cours désireux de rejoindre votre liste, collectez des disques arrachés aux frères précédents par le vent, et jouez bien pour débloquer des émotes et célébrer des lancers magistrales. Systèmes de notation, classements et modes de jeu Essayez de cinq étoiles chaque niveau en ne laissant pas tomber le disque ou en participant à travers les classements pour les moindres coups et le temps le plus rapide. Jouer de façon décontractée ou aller hardcore et prévenir les réaspions si votre frère prend des dommages ou sort des limites.","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Support de contrôleur complet,Remote Play Together","Action, Aventure, Casual, Indie, Sport","Sports,Multijoueur,Co-op,Adventure,Puzzle,Action,Casual,Flight,2D,Campagne coop,Co-op local,Famille amicale,Physique,Action-Adventure,Linear,Pixel Graphics,Fantasy,Top-Down,2D Platformer, Shooter Top-Down"
Championnat ultime,"Dans ce jeu, vous pouvez tirer piège et skeet tir de fusil. Vous êtes libre de tirer les pigeons d'argile dans tout ordre que vous voulez, mais vous pouvez également les tirer correctement. La règle est expliquée en jeu. Calme-toi et descends ces argiles. Et ne t'inquiète pas pour les munitions. C'est infini.",Joueur unique,"Casual, Indie, Simulation","Indie,Casual,Simulation,VR"
Navires 2017,"Prenez le contrôle de 3 navires spéciaux. Effectuer diverses missions sur les eaux dangereuses de la mer Baltique. Participez à la récupération des objets du fond de la mer. Transporter des marchandises lourdes vers sa destination finale, y compris des missions de sauvetage et de transport. Assemblez des installations navales massives en eaux libres. Prenez le contrôle de l'équipage du navire et de ses accessoires (extincteurs d'incendie, tuyaux d'incendie, canons à eau, gonflables et projecteurs) afin de défendre votre navire contre les attaques de pirates, d'éteindre le feu à bord ou de choisir des survivants en mode de jeu spécial. Gagnez de l'argent et utilisez-le pour acheter et réparer des navires tels que: - le plus grand navire conteneur au monde - navire de construction en eau profonde - navires de transport semi-submersibles Caractéristiques du jeu: - 3 bateaux à usage spécial - 24 missions intéressantes - système de rénovation de navire - mode de gestion de l'équipage - eau réaliste grâce au moteur graphique et physique avancé VOIR LES MISES À JOUR ET LES NOUVELLES: www.facebook.com/PlayWayGames www.twitter.com/Play_Way www.playway.com",Joueur unique,"Indie, Simulation","Simulation,Inde,Free to Play,Adventure,Strategy,Bâtiment,Exploration,Gestion,Life Sim,3D,Cinéma,Réaliste,Naval,Destruction,Tactique,Open World,Driving,Physics,Sailing,Singleplayer"
